Profile Name/ID,Video ID,Title,Author Channel,Action,Was commented,Comment,Date,Time,Tags,Rating
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,kBSvA1ASqBw,NUNCA FALE QUANTO TEM DE DINHEIRO PARA OS OUTROS | CORTES do EDSON CASTRO,Edson Castro [Oficial],Watched,0,-,22-05-2025,16:17:41,"edson castro, edson castro mhm, mhm edson castro, dinheiro, quanto tem dinheiro, valor de dinheiro, familia e dinheiro, amigos e dinheiro",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,YR3UovgnCso,Cafe Vlog Mini Coffee Vespa Barista Dream Charming Mobile Bar Explore Secret Behind Small Business,Tasty Inside,Watched,0,-,23-05-2025,15:16:00,"vídeo, compartilhamento, celular com câmera, videofone, gratuito, envio",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,W5GM33NabB0,"How to Shred Vegetables Japanese Style: Carrots, Red Onion, and More!",SAMUKICHI -Japan food studio-,Watched,0,-,23-05-2025,15:41:42,"shredding, vegetable cutting, vegetable cutting techniques, cooking, recipe, japanese food, japanese cuisine, easy recipe, carrot, bell pepper, green pepper, red onion, katsuramuki, vegetable shredding techniques, how to shred vegetables japanese style, cooking tips, kitchen tips, food preparation, knife skills, chef techniques, pro chef, home cooking, 人参, パプリカ, ピーマン, 赤玉ねぎ, 千切り, 野菜カット, salad, how to cut technic, yt:cc=on",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,xfzbitbOvD0,BIFE WELLINGTON GUIA DEFINITIVO!,Leonardo Abreu,Watched,0,-,23-05-2025,15:04:22,"leonardo abreu, leo abreu, ceia de natal completa, receitas de natal, receitas para o ano novo, ano novo, receitas, receitas simples, molhos, caldos, gastronomia, bife wellington, receita classica, natal",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,HFQaFS06kV4,9 TRUQUES para COMPRAR ROUPA BARATA | MODA MASCULINAS 2025,Edson Castro [Oficial],Watched,0,-,23-05-2025,15:10:33,"roupas masculinas, comprar roupas masculinas baratas, roupas baratas masculinas, comprar roupas baratas, comprar roupas barartas pela internet, roupas baratas na internet, moda masculina, roupas baratas, roupa barata, comprar roupa barata, roupa barata masculina, truque para comprar roupa barata, moda para homens, moda masculina 2025, moda 2025, moda 2025 masculina, onde comprar roupas masculinas, roupa masculina, marcas de roupas masculinas, moda, estilo masculino",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,e-zKwhPVmrc,Os 10 MELHORES PERFUMES NACIONAIS do Momento - Pesquisa feita com 283 Homens em 2025,Homem Cheiroso | Perfumes Masculinos,Watched,0,-,23-05-2025,15:52:48,"PERFUMES, PERFUMES MASCULINOS, MELHORES PERFUMES MASCULINOS, FRAGRÂNCIAS MASCULINAS, melhores perfumes 2025, melhores perfumes masculinos do momento, melhores perfumes nacionais do momento, melhores perfumes masculinos nacionais, melhores perfumes masculinos 2025, melhores perfumes nacionais 2025, melhores perfumes nacionais, natura homem elo, natura essencial único, the blend bourbon, zaad o boticário, zaad expedition, close intention eudora, pesquisa perfumes",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,J97IViIgPGQ,O que ninguém te conta sobre café especial na Amazon (eu testei 7 às cegas) | Não Sou Barista,Não Sou Barista,Watched,0,-,25-05-2025,13:28:24,"nao sou barista, não sou barista, ncjos31456, CAFÉ, café especial, café amazon, teste cego café, melhores cafés da amazon, café com frete grátis, vale a pena café da amazon, café especial barato, cupping café, café sem açúcar, café em grão, comprar café online, thales fernandes café, como escolher café bom, torrefações brasileiras",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,KMbL-lcaXzg,250417 RO LATAM 1PT,Google Ads,Watched,0,-,25-05-2025,12:36:50,"RAGNAROK ONLINE, Ragnarok mmorpg, servidor Ragnarok, mmorpg ragnarok online, Ragnarok ro, Gravity ragnarok",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,26uCAwOPHg0,economizar 6s,Google Ads,Watched,0,-,25-05-2025,12:36:22,"Uber, Ridesharing, Uber App, Uber Partner, Uber Ad, Uber Commercial, Uber Advertisement, How to use uber app, Uber driver, Uber X, Uber Black, Uber Green, Uber Reserve, Uber One",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,Wlu3uOkEnRU,"Testei os PERFUMES VIRAIS da INTERNET, será que são TÃO BONS ASSIM? | Perfumes Masculinos",machomoda,Watched,0,-,25-05-2025,13:15:30,"macho moda, coloral, moda masculina, estilo masculino, moda para homens, machomoda, perfumes virais, perfumes masculinos, perfume masculino, testando perfumes hypados, testando perfumes virais, lataffa asad, myslf ysl, club de nuit intense man armaf, le beau paradise garden, turathi blue afnan, cebolinha jequiti",-
